source_pdf,pages,text_extracted,tables_detected,projects_detected,reporting_month_detected,ocr_used,extraction_status,confidence
FR_APr_2021.pdf,732,True,646,11415,2021-04,False,SUCCESS,1.0
FR_AUG_2001.pdf,16,True,0,0,2001-08,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_AUG_2002.pdf,24,True,0,0,2002-08,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_APril_2017.pdf,371,True,301,5638,2017-04,False,SUCCESS,1.0
FR_AUG_2009.pdf,51,True,0,0,2009-08,False,NO_PROJECTS_FOUND,0.0
FR_Apr_2002.pdf,17,True,0,0,2002-04,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_April_2001.pdf,18,True,0,0,2001-04,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_APr_2022.pdf,708,True,639,10511,2022-04,False,SUCCESS,1.0
FR_DEC_2001.pdf,18,True,0,0,2001-12,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_DEC_2002.pdf,22,True,0,0,2002-12,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_DEC_2009.pdf,60,True,28,597,2009-12,False,SUCCESS,1.0
FR_AUGUST_2012.pdf,167,True,96,1732,2012-08,False,SUCCESS,1.0
FR_APr_Report_2019.pdf,551,True,478,8572,2019-04,False,SUCCESS,1.0
FR_Aug_2013.pdf,171,True,129,2561,2013-08,False,SUCCESS,1.0
FR_AUG_2011.pdf,135,True,92,1624,2011-08,False,SUCCESS,1.0
FR_FEB_2002.pdf,17,True,0,0,2002-02,False,SYNOPSIS_NO_PROJECT_TABLES,1.0
FR_FEB_2003.pdf,26,True,1,13,2003-02,False,SUCCESS,1.0
FR_Dec_2010.pdf,77,True,39,681,2010-12,False,SUCCESS,1.0
FR_DEC_2011.pdf,137,True,88,1667,2011-12,False,SUCCESS,1.0
FR_FEB_2010.pdf,61,True,28,617,2010-02,False,SUCCESS,1.0
FR_FEB_2011.pdf,85,True,42,843,2011-02,False,SUCCESS,1.0
